name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
BME680 Environmental Sensor,bme680-sensor,"The BME680 is an integrated environmental sensor developed specifically for mobile applications and wearables where size and low power consumption are key requirements.",bme680.jpg,category:Sensors|brand:Bosch|sensor-type:Temperature|sensor-type:Humidity|sensor-type:Pressure|sensor-type:Gas,,,BME680-001,45000,standard,100,true,,
VL53L0X Time-of-Flight Distance Sensor,vl53l0x-sensor,"The VL53L0X is a Time-of-Flight (ToF) laser-ranging module that provides accurate distance measurement regardless of the target reflectances.",vl53l0x.jpg,category:Sensors|brand:STMicroelectronics|sensor-type:Distance|sensor-type:Laser,,,VL53L0X-001,42000,standard,90,true,,
L298N Motor Driver Module,l298n-motor-driver,"The L298N is a dual H-Bridge motor driver which allows speed and direction control of two DC motors at the same time. Perfect for robotics projects.",l298n.jpg,category:Components|brand:Generic|category:Motor Drivers,,,L298N-001,20000,standard,150,true,,
SG90 Micro Servo Motor,sg90-servo,"The SG90 is a small and lightweight servo motor with high output power. It is perfect for small robotics projects, RC vehicles, and automated mechanisms.",sg90-servo.jpg,category:Components|brand:TowerPro|category:Motors,,,SG90-001,10000,standard,400,true,,
NRF24L01 Wireless Module,nrf24l01-module,"The NRF24L01 is a single chip 2.4GHz transceiver with an embedded baseband protocol engine. Perfect for wireless communication between microcontrollers.",nrf24l01.jpg,category:Wireless|brand:Nordic|connectivity:2.4GHz,,,NRF24L01,15000,standard,200,true,,
HC-05 Bluetooth Module,hc05-bluetooth,"The HC-05 is a Bluetooth SPP (Serial Port Protocol) module designed for transparent wireless serial connection setup. It can be configured as Master or Slave.",hc05-bt.jpg,category:Wireless|brand:Generic|connectivity:Bluetooth,,,HC05-001,28000,standard,160,true,,
NEO-6M GPS Module,neo6m-gps,"The NEO-6M GPS module is a complete GPS receiver with high sensitivity and low power consumption. It features a built-in antenna and EEPROM.",neo6m-gps.jpg,category:Wireless|brand:u-blox|connectivity:GPS|sensor-type:Location,,,NEO6M-001,48000,standard,85,true,,
0.96 Inch OLED Display,oled-096-display,"This 0.96 inch OLED display features 128x64 pixels and uses I2C communication. It is perfect for displaying sensor data, menus, and small graphics.",oled-096.jpg,category:Components|brand:Generic|category:Displays,,,OLED-096,22000,standard,140,true,,
Breadboard 830 Points,breadboard-830,"This 830 tie-point breadboard is perfect for prototyping electronic circuits. It has adhesive backing and fits most Arduino and Raspberry Pi projects.",breadboard.jpg,category:Components|brand:Generic|category:Prototyping,,,BB-830,15000,standard,500,true,,
Jumper Wire Kit 120pcs,jumper-wire-kit,"A comprehensive kit of 120 jumper wires in various lengths and colors. Essential for any electronics project involving breadboards or prototyping.",jumper-wires.jpg,category:Components|brand:Generic|category:Prototyping,,,JW-KIT-120,18000,standard,300,true,,
Power Supply Module 3.3V/5V,power-supply-module,"This breadboard power supply module provides regulated 3.3V and 5V outputs from a 6.5-12V input. Features an ON/OFF switch and power indicator LED.",power-module.jpg,category:Power Supplies|brand:Generic,,,PS-MODULE,12000,standard,200,true,,
18650 Battery Holder,battery-holder-18650,"This battery holder accommodates one 18650 lithium-ion battery. Features built-in protection circuit and standard 2-pin connector.",battery-holder.jpg,category:Power Supplies|brand:Generic|category:Batteries,,,BH-18650,9000,standard,350,true,,
TP4056 Charging Module,tp4056-charger,"The TP4056 is a complete constant-current/constant-voltage linear charger for single cell lithium-ion batteries. Features overcharge and overdischarge protection.",tp4056.jpg,category:Power Supplies|brand:Generic|category:Chargers,,,TP4056-001,8000,standard,280,true,,
IR Infrared Sensor Module,ir-sensor-module,"This IR sensor module can detect infrared radiation and is commonly used in line-following robots, obstacle detection, and motion sensing applications.",ir-sensor.jpg,category:Sensors|brand:Generic|sensor-type:Infrared|sensor-type:Motion,,,IR-MOD-001,10000,standard,220,true,,
MQ-2 Gas Sensor,mq2-gas-sensor,"The MQ-2 gas sensor is sensitive to LPG, i-butane, propane, methane, alcohol, hydrogen and smoke. Widely used in gas leakage detecting equipment.",mq2-sensor.jpg,category:Sensors|brand:Generic|sensor-type:Gas,,,MQ2-001,15000,standard,190,true,,
Soil Moisture Sensor,soil-moisture-sensor,"This soil moisture sensor can read the amount of moisture present in the soil surrounding it. Perfect for automated gardening and plant monitoring systems.",soil-sensor.jpg,category:Sensors|brand:Generic|sensor-type:Moisture,,,SOIL-001,12000,standard,240,true,,
PIR Motion Sensor,pir-motion-sensor,"PIR (Passive Infrared) sensors allow you to sense motion by measuring infrared light radiating from objects in its field of view. Perfect for security systems.",pir-sensor.jpg,category:Sensors|brand:Generic|sensor-type:Motion|sensor-type:Infrared,,,PIR-001,14000,standard,210,true,,
Sound Sensor Module,sound-sensor-module,"This sound sensor module detects sound intensity. Features an onboard potentiometer for sensitivity adjustment and both analog and digital outputs.",sound-sensor.jpg,category:Sensors|brand:Generic|sensor-type:Sound,,,SOUND-001,12000,standard,180,true,,
Relay Module 5V 1-Channel,relay-module-1ch,"This 5V relay module is perfect for controlling high voltage devices using low voltage signals from microcontrollers. Features optocoupler isolation.",relay-1ch.jpg,category:Components|brand:Generic|category:Relays,,,RLY-1CH,10000,standard,300,true,,
Relay Module 5V 4-Channel,relay-module-4ch,"This 4-channel relay module allows you to control 4 high voltage devices simultaneously. Each channel has independent control and LED indicators.",relay-4ch.jpg,category:Components|brand:Generic|category:Relays,,,RLY-4CH,25000,standard,150,true,,
LED Kit 5mm 3mm,led-kit-mixed,"A comprehensive kit containing 5mm and 3mm LEDs in various colors (red, green, blue, yellow, white). Perfect for indicator lights and basic lighting projects.",led-kit.jpg,category:Components|brand:Generic|category:LEDs,,,LED-KIT-100,22000,standard,400,true,,
Resistor Kit 400pcs,resistor-kit,"This resistor kit contains 400 resistors in 20 different values ranging from 10Ω to 1MΩ. All resistors are 1/4W with 5% tolerance.",resistor-kit.jpg,category:Components|brand:Generic|category:Resistors,,,RES-KIT-400,18000,standard,350,true,,
Capacitor Kit 500pcs,capacitor-kit,"A comprehensive capacitor kit containing ceramic and electrolytic capacitors in various values. Essential for any electronics repair or project.",capacitor-kit.jpg,category:Components|brand:Generic|category:Capacitors,,,CAP-KIT-500,28000,standard,280,true,,
Transistor Kit 200pcs,transistor-kit,"This transistor kit contains 200 pieces of common NPN and PNP transistors including BC547, BC557, 2N2222, and 2N3904. Perfect for switching and amplification circuits.",transistor-kit.jpg,category:Components|brand:Generic|category:Transistors,,,TRANS-KIT-200,32000,standard,200,true,,
Arduino Starter Kit,arduino-starter-kit,"The ultimate starter kit for Arduino beginners. Includes Arduino Uno R3, breadboard, sensors, LEDs, resistors, jumper wires, and comprehensive project guide.",arduino-kit.jpg,category:Microcontrollers|brand:Arduino|category:Kits,,,ARD-KIT-001,285000,standard,60,true,,
Raspberry Pi 4 Complete Kit,raspberry-pi-kit,"Everything you need to get started with Raspberry Pi 4. Includes Pi 4 4GB, case with fan, power supply, 32GB SD card, HDMI cables, and heat sinks.",rpi-kit.jpg,category:Development Boards|brand:Raspberry Pi|category:Kits,,,RPI-KIT-001,485000,standard,40,true,,
ESP32-CAM Development Board,esp32-cam,"The ESP32-CAM is a development board with an ESP32-S chip, OV2640 camera, and microSD card slot. Perfect for video streaming and image recognition projects.",esp32-cam.jpg,category:Development Boards|brand:Espressif|connectivity:WiFi|category:Cameras,,,ESP32-CAM,48000,standard,100,true,,
